"teams","pr_rnk","wins","loss","yr","conf"
"Louisville","3","31","6","2014","aac"
"Cincinnati",NA,"27","7","2014","aac"
"Connecticut","18","32","8","2014","aac"
"Southern Methodist",NA,"27","10","2014","aac"
"Memphis","13","24","10","2014","aac"
"Houston",NA,"17","16","2014","aac"
"Rutgers",NA,"12","21","2014","aac"
"Central Florida",NA,"13","18","2014","aac"
"Temple",NA,"9","22","2014","aac"
"South Florida",NA,"12","20","2014","aac"
"Southern Methodist","22","27","7","2015","aac"
"Tulsa",NA,"23","11","2015","aac"
"Temple","17","26","11","2015","aac"
"Cincinnati",NA,"23","11","2015","aac"
"Connecticut",NA,"20","15","2015","aac"
"Memphis",NA,"18","14","2015","aac"
"Tulane",NA,"15","16","2015","aac"
"East Carolina",NA,"14","19","2015","aac"
"Central Florida",NA,"12","18","2015","aac"
"Houston",NA,"13","19","2015","aac"
"South Florida",NA,"9","23","2015","aac"
"Temple",NA,"21","12","2016","aac"
"Southern Methodist",NA,"25","5","2016","aac"
"Houston","20","22","10","2016","aac"
"Cincinnati",NA,"22","11","2016","aac"
"Tulsa",NA,"20","12","2016","aac"
"Connecticut",NA,"25","11","2016","aac"
"Memphis",NA,"19","15","2016","aac"
"Central Florida",NA,"12","18","2016","aac"
"East Carolina",NA,"12","20","2016","aac"
"South Florida",NA,"8","25","2016","aac"
"Tulane",NA,"12","22","2016","aac"
"Southern Methodist",NA,"30","5","2017","aac"
"Cincinnati",NA,"30","6","2017","aac"
"Houston","18","21","11","2017","aac"
"Central Florida",NA,"24","12","2017","aac"
"Memphis",NA,"19","13","2017","aac"
"Connecticut",NA,"16","17","2017","aac"
"Tulsa",NA,"15","17","2017","aac"
"Temple",NA,"16","16","2017","aac"
"East Carolina",NA,"15","18","2017","aac"
"Tulane",NA,"6","25","2017","aac"
"South Florida",NA,"7","23","2017","aac"
"Cincinnati","12","23","2","2018","aac"
"Houston",NA,"19","5","2018","aac"
"Wichita State",NA,"19","5","2018","aac"
"Tulsa",NA,"14","10","2018","aac"
"Temple",NA,"15","10","2018","aac"
"Central Florida","7","15","9","2018","aac"
"Southern Methodist",NA,"15","10","2018","aac"
"Memphis",NA,"14","11","2018","aac"
"Connecticut",NA,"12","13","2018","aac"
"Tulane",NA,"13","11","2018","aac"
"East Carolina",NA,"9","14","2018","aac"
"South Florida",NA,"8","18","2018","aac"
"Wake Forest","13","25","6","2003","acc"
"Maryland","6","21","10","2003","acc"
"Duke",NA,"26","7","2003","acc"
"North Carolina State",NA,"18","13","2003","acc"
"Georgia Tech",NA,"16","15","2003","acc"
"Virginia",NA,"16","16","2003","acc"
"North Carolina",NA,"19","16","2003","acc"
"Clemson",NA,"15","13","2003","acc"
"Florida State",NA,"14","15","2003","acc"
